goal_id,bucket_id,metric_name,metric_unit,start_period,end_period,target_value_final_period,initial_value,minimum_viable_allocation,optimal_allocation_min,optimal_allocation_max,red_low_max,orange_low_max,green_min,green_max,orange_high_min,red_high_min,scenario_story
1,19,Performance Metric - Google Ads - Search,score,1,24,85.0,60.0,0.03583836220776273,0.0511976602968039,0.05658688769646746,0.049041969336938475,0.0511976602968039,0.0511976602968039,0.05658688769646746,0.05658688769646746,0.05874257865633289,underfunded
2,20,Performance Metric - Google Ads - Display,score,1,24,85.0,60.0,0.026422112644507237,0.03774587520643891,0.04171912522816932,0.036156575197746746,0.03774587520643891,0.03774587520643891,0.04171912522816932,0.04171912522816932,0.043308425236861486,dynamic
3,21,ROAS - Social,ratio,1,24,3.5,2.0,0.034852856778177385,0.049789795397396266,0.05503082649185903,0.04769338295961116,0.049789795397396266,0.049789795397396266,0.05503082649185903,0.05503082649185903,0.057127238929644136,optimal
4,22,Organic Traffic,visitors,1,24,50000.0,25000.0,0.022702625872963393,0.03243232267566199,0.03963950549247577,0.02954944954893648,0.03243232267566199,0.03243232267566199,0.03963950549247577,0.03963950549247577,0.04252237861920128,optimal
5,23,SEO Ranking Score,score,1,24,85.0,60.0,0.02087315015688931,0.029818785938413302,0.03295760551087786,0.02856325810942748,0.029818785938413302,0.029818785938413302,0.03295760551087786,0.03295760551087786,0.034213133339863686,underfunded
6,24,Video Engagement Rate,percentage,1,24,45.0,25.0,0.01836194634116512,0.026231351915950177,0.02757654945010147,0.02569327290228966,0.026231351915950177,0.026231351915950177,0.02757654945010147,0.02757654945010147,0.028114628463761986,overfunded
7,25,Partner Count,count,1,24,40.0,15.0,0.024591501121490535,0.035130715887843625,0.04293754164069777,0.03200798558670197,0.035130715887843625,0.035130715887843625,0.04293754164069777,0.04293754164069777,0.046060271941839426,dynamic
8,26,Co-Marketing ROI,ratio,1,24,4.0,2.5,0.02214156423246298,0.031630806046375685,0.03496036457757313,0.030298982633896708,0.031630806046375685,0.031630806046375685,0.03496036457757313,0.03496036457757313,0.036292187990052106,optimal
9,27,Channel Revenue,dollars,1,24,250000.0,100000.0,0.01622776843048666,0.023182526329266658,0.028334198846881473,0.021121857322220734,0.023182526329266658,0.023182526329266658,0.028334198846881473,0.028334198846881473,0.030394867853927397,dynamic
10,28,Virtual Event Attendance,attendees,1,24,500.0,200.0,0.016063817212882858,0.022948310304118372,0.02804793481614468,0.02090846049930785,0.022948310304118372,0.022948310304118372,0.02804793481614468,0.02804793481614468,0.030087784620955203,overfunded
11,29,Event Lead Generation,leads,1,24,150.0,50.0,0.011327199857860038,0.016181714082657197,0.01977765054546991,0.014743339497532112,0.016181714082657197,0.016181714082657197,0.01977765054546991,0.01977765054546991,0.021216025130594993,underfunded
