output_id,bucket_id,period_id,delivered_output_quantity,delivered_output_quality_score,output_cost_per_unit,total_cost
1,19,1,229.61714777049534,0.7410581923413007,116.30910912858714,26706.56589783346
2,19,2,242.54971267531644,0.6780191739142164,103.88674336601409,25197.699754201054
3,19,3,261.43961638133334,0.7085343880966031,113.52465072575484,29679.8411355662
4,19,4,254.7438736960053,0.7384807650158071,125.2898060412688,31916.810525573983
5,19,5,954.1105873803166,0.7663981290503942,27.14523628700107,25899.557338368075
6,19,6,924.2304857099998,0.7187104133520914,33.10078654030891,30592.75602153273
7,19,7,832.8983585389786,0.6648754656165956,31.683499058873032,26389.134358906624
8,19,8,1008.2615219827546,0.7986425411429668,31.075317480179375,31332.046898662957
9,19,9,1040.7546695649157,0.7307901107342514,26.2361421624944,27305.387466985012
10,19,10,823.9897819389428,0.7165694103524938,24.436306952845747,20135.267237468437
11,19,11,820.7672540759536,0.7357438585117276,31.915996840879153,26195.60508818519
12,19,12,994.804257602953,0.6795292708150704,22.510640350421877,22393.680861968514
13,19,13,944.7838791601586,0.7605036306151237,28.733468756950565,27146.918073918972
14,19,14,850.0761310702655,0.6953030691270714,27.435081659927047,23321.90807306758
15,19,15,234.7230196915328,0.6427582469176626,100.15439493620546,23508.54201480451
16,19,16,217.2236552330668,0.6309592487795442,94.91588533518609,20617.975552191765
17,19,17,219.76440832714238,0.7374943310050153,113.73581839928875,24995.084836123006
18,19,18,256.69616664648095,0.7676716518925416,115.37005088491188,29615.049807966327
19,19,19,222.96103933207124,0.7222340174008102,130.09687431088457,29006.534310208663
20,19,20,764.8776185624354,0.7603764688554442,40.06650739056513,30645.974757009673
21,19,21,817.1925891948368,0.7755864527848357,35.597174532746024,29089.747224435232
22,19,22,997.9809731335479,0.7870988379446058,32.131780525291774,32066.905597144265
23,19,23,1016.4874473122444,0.7660067765975856,31.380329579478644,31897.711110061162
24,19,24,1081.6452007735058,0.7940783257810635,29.624488859689862,32043.186200451728
25,20,1,690.0062520778234,0.6529552959555482,107.88663254939536,74442.4509747056
26,20,2,617.199356950127,0.5980308018552063,123.6899396912096,76341.35123861456
27,20,3,800.810763148901,0.649223377973175,87.45787795175892,70037.20998593149
28,20,4,782.3896982305604,0.6153368941551599,93.92615331137885,73486.85474524705
29,20,5,621.9638241708657,0.6617828465519784,110.84413325136967,68941.04100392689
