metric_id,goal_id,period_id,observed_value,expected_value,variance_from_target,trailing_3_period_avg,trailing_6_period_slope,volatility_measure
1,1,1,33.76995127481731,61.041666666666664,51.23004872518269,33.76995127481731,0.0,0.0
2,1,2,22.8298658281548,62.083333333333336,62.1701341718452,28.299908551486055,-10.940085446662508,5.470042723331254
3,1,3,18.467838162015788,63.125,66.5321618379842,25.02255175499597,-7.651056556400762,6.436591753900431
4,1,4,16.524659245851,64.16666666666667,68.475340754149,19.27412107867386,-5.609790375303798,6.679254693487023
5,1,5,17.820638344330753,65.20833333333333,67.17936165566925,17.60437858406585,-3.8203832443276915,6.309898460465069
6,1,6,18.5328553541675,66.25,66.4671446458325,17.62605098144975,-2.6616097420253113,5.8938484587203295
7,1,7,16.999678381520305,67.29166666666667,68.00032161847969,17.78439069333952,-0.7902830445210731,2.0558528165467638
8,1,8,17.3155927900962,68.33333333333333,67.6844072099038,17.616042175261338,-0.10354149836437913,0.7381338179619781
9,1,9,17.371371137466483,69.375,67.62862886253352,17.228880769694328,0.03386416636361701,0.6311622410563574
10,1,10,19.936231387185668,70.41666666666667,65.06376861281433,18.207731771582786,0.21169791350707004,0.9940854381080041
11,1,11,22.06396909081788,71.45833333333333,62.93603090918212,19.790523871823343,0.7577430299319536,1.800248146472694
12,1,12,21.940512728091022,72.5,63.05948727190898,21.31357106869819,1.186118882421082,2.158727098178132
13,1,13,23.8669308903226,73.54166666666667,61.1330691096774,22.623804236410496,1.388338656475367,2.4515754311901117
14,1,14,21.968751442793486,74.58333333333333,63.03124855720651,22.59206502040237,0.9901583906662572,2.0515586025692722
15,1,15,22.34514472689902,75.625,62.65485527310098,22.72694235333837,0.3910094833350058,1.145268670470208
16,1,16,20.89809933262471,76.66666666666667,64.10190066737529,21.737331834105742,-0.1861037783448826,0.8786086797501589
17,1,17,24.318099795408898,77.70833333333334,60.6819002045911,22.52044795164421,0.09593811278860846,1.179004884946949
18,1,18,24.020580991500005,78.75,60.979419008499995,23.078926706511208,0.18197857627025696,1.2506203125875495
19,1,19,21.705314372050083,79.79166666666667,63.29468562794992,23.34799838631966,0.2036892543677187,1.2322437345853414
20,1,20,20.50304099023952,80.83333333333334,64.49695900976047,22.07631211792987,-0.20246835339800606,1.4481704660950918
21,1,21,21.501966663938838,81.875,63.49803333606116,21.236774008742813,-0.30688875366820967,1.4774291846019618
22,1,22,19.907070220691956,82.91666666666667,65.09292977930804,20.637359291623437,-0.8803789782308198,1.6538909057864646
23,1,23,20.269760405297383,83.95833333333334,64.73023959470262,20.559599096642724,-0.6614259917539461,1.3687882376796237
24,1,24,21.886079666583058,85.0,63.11392033341694,20.6876367641908,-0.039740335011667266,0.7638410719664769
25,2,1,28.378971211923794,61.041666666666664,56.6210287880762,28.378971211923794,0.0,0.0
26,2,2,20.397618696075966,62.083333333333336,64.60238130392403,24.388294953999882,-7.981352515847831,3.990676257923914
27,2,3,20.22714986849563,63.125,64.77285013150437,23.00124659216513,-4.075910671714079,3.8032623250540234
28,2,4,17.008088500012818,64.16666666666667,67.99191149998718,19.210952354861472,-3.4283116963313316,4.193234756058682
29,2,5,20.026156342566953,65.20833333333333,64.97384365743305,19.087131570358466,-2.009515993477688,3.7967781917422783
30,2,6,18.024730084736582,66.25,66.97526991526342,18.352991642438784,-1.60299011614131,3.66332781958646
31,2,7,19.84133489205511,67.29166666666667,65.1586651079449,19.297407106452884,-0.18201744368077907,1.2748395244034354
32,2,8,17.818410306526275,68.33333333333333,67.18158969347373,18.561491761105987,-0.15843956833000689,1.2514362901658462
33,2,9,19.72724536950954,69.375,65.27275463049045,19.12899685603031,0.2511186013337181,1.169204874333964
34,2,10,19.594909077651796,70.41666666666667,65.40509092234821,19.04685491789587,0.026525284120408315,0.8956538558834676
35,2,11,21.85008850601012,71.45833333333333,63.149911493989876,20.390747651057154,0.5798957064611737,1.335466041940166
36,2,12,19.82785078280955,72.5,65.17214921719045,20.42428278882382,0.33986507886760087,1.1673421499622136
37,2,13,20.50052921321848,73.54166666666667,64.49947078678152,20.72615616734605,0.4562168629062692,1.1988559622750259
38,2,14,21.40989593584889,74.58333333333333,63.590104064151106,20.57942531062564,0.2602250147198941,0.8677018743699495
39,2,15,20.30853555666615,75.625,64.69146444333384,20.73965356857784,0.0834352318570585,0.8080810556737085
40,2,16,19.457404071151554,76.66666666666667,65.54259592884844,20.391945187888865,-0.27462860371693093,0.8371755537840061
41,2,17,22.596982811224443,77.70833333333334,62.40301718877556,20.787640813014047,0.2747121239054567,1.0486968874201414
42,2,18,21.53827935962023,78.75,63.46172064037977,21.197555413998742,0.22568228207488059,1.009075131139423
43,2,19,24.221405976564846,79.79166666666667,60.778594023435154,22.785556049136506,0.5967531529289978,1.5364207021360288
44,2,20,23.199498013095514,80.83333333333334,61.800501986904486,22.986394449760194,0.7910889870509278,1.6427756161216587
45,2,21,21.1020751216601,81.875,63.8979248783399,22.840993037106823,0.36325792786001726,1.5390391262463463
46,2,22,25.094785612721296,82.91666666666667,59.905214387278704,23.132119582492304,0.29024266657527426,1.4030182795448691
47,2,23,25.774692187797662,83.95833333333334,59.22530781220234,23.990517640726353,0.6201365759406045,1.7284813055894115
48,2,24,22.525284733918934,85.0,62.47471526608106,24.464920844812628,0.09250533719823234,1.575226562767715
49,3,1,1.2824334369871542,2.0625,2.217566563012846,1.2824334369871542,0.0,0.0
50,3,2,0.8674210412952423,2.125,2.632578958704758,1.0749272391411981,-0.41501239569191195,0.20750619784595592
51,3,3,0.7657489802701699,2.1875,2.73425101972983,0.971867819517522,-0.2583422283584921,0.22349131834591382
52,3,4,0.7652726293878512,2.25,2.734727370612149,0.7994808836510878,-0.16531544838229828,0.21322305666046057
53,3,5,0.9273530137185527,2.3125,2.5726469862814474,0.8194582077921914,-0.08123092584445944,0.19073384735644708
54,3,6,0.9330881224630281,2.375,2.566911877536972,0.8752379218564773,-0.04478305732094331,0.1741675954689816
55,3,7,0.8581525416657524,2.4375,2.6418474583342477,0.9061978926157778,0.017650151793195058,0.06768267915762875
56,3,8,0.8684144244974251,2.5,2.6315855755025748,0.8865516962087353,0.02279148762041302,0.06771935103569124
57,3,9,1.0454875670963848,2.5625,2.4545124329036154,0.9240181777531875,0.03283780971662888,0.0855464162959534
58,3,10,1.0654081451774478,2.625,2.4345918548225525,0.9931033789237524,0.029649596400749174,0.07992417493380682
59,3,11,0.9810356819851584,2.6875,2.5189643180148416,1.0306437980863303,0.029673650021277097,0.07993202820507884
60,3,12,0.9068399416785164,2.75,2.5931600583214838,0.9844279229470407,0.01717775287451681,0.08190245869414148
61,3,13,1.0087773354392804,2.8125,2.49122266456072,0.9655509863676518,0.005757120436096727,0.07096172568564102
62,3,14,0.9983230713907479,2.875,2.501676928609252,0.9713134495028483,-0.013711732801409355,0.05076070251667558
63,3,15,1.0415161641409891,2.9375,2.4584838358590106,1.0162055236570058,0.0009811330512926172,0.050198789809183984
64,3,16,1.1278393773725952,3.0,2.372160622627405,1.0558928709681108,0.032216939436459216,0.06645178113620431
65,3,17,1.1991503959192729,3.0625,2.300849604080727,1.1228353124776191,0.05319804256439917,0.09415416842122272
66,3,18,1.1334767737860638,3.125,2.3665232262139364,1.1534888490259771,0.03749435367288859,0.07351758423862617
67,3,19,1.0435448745189009,3.1875,2.4564551254810993,1.125390681408079,0.01638005323207624,0.06849185629251199
68,3,20,1.0991877490355035,3.25,2.4008122509644965,1.0920697991134893,-0.0008628344634776905,0.05477451171355496
69,3,21,1.057600039834527,3.3125,2.442399960165473,1.0667775544629772,-0.02117190078882313,0.051794519059693345
70,3,22,1.0506590314601911,3.375,2.4493409685398086,1.0691489401100738,-0.026126975703811797,0.05526738118384176
71,3,23,1.1466146785355735,3.4375,2.3533853214644265,1.084957916610097,0.0012984081534413586,0.040665633758698715
72,3,24,1.3447135223561055,3.5,2.1552864776438945,1.1806624107839567,0.046890943408911354,0.10496184986949436
73,4,1,14560.206001800576,26041.666666666668,35439.79399819943,14560.206001800576,0.0,0.0
74,4,2,9438.847855122025,27083.333333333332,40561.152144877975,11999.5269284613,-5121.358146678554,2560.6790733392754
75,4,3,8463.852671652681,28125.0,41536.14732834732,10820.968842858427,-3048.1766650739496,2673.833053883185
